x,y
-4.053009593960403,-1.295097447026176
-4.040802286003174,-1.295735265937991
-4.023522203927756,-1.293554015375949
-4.011039182381722,-1.2997168230602625
-3.9798012252809865,-1.2866236220749276
-3.9296113000900785,-1.2780369601260668
-3.8829893460109184,-1.267575572406705
-3.8378293830989616,-1.2614051181578934
-3.7933054808856332,-1.258726249755831
-3.7480098744631114,-1.2680156175974082
-3.6969110366253313,-1.277684604981336
-3.641407218018536,-1.2879504610229486
-3.58391201403285,-1.3004310444561067
-3.5323544084559013,-1.320526193911671
-3.4803834687083803,-1.3334540489409499
-3.426503573258678,-1.3393499587439264
-3.3691995612295744,-1.3402015937468446
-3.30631802836328,-1.3359531827639217
-3.2459591002796975,-1.3258384835952164
-3.190523275413366,-1.3230977702551052
-3.1376084261040225,-1.3245383876956132
-3.080083111972697,-1.331737444299401
-3.017971268379644,-1.3456520805020111
-2.9549629043142605,-1.3577972979505204
-2.8986254970343386,-1.3779274258264294
-2.845355069532538,-1.3885275455763895
-2.7903169521027893,-1.4002646261113167
-2.7305452849488607,-1.4041054491785059
-2.6622313964622144,-1.3980984096721176
-2.5926281956649384,-1.3864671865374687
-2.527691080953182,-1.3802979794289179
-2.4699682402743948,-1.401891991616973
-2.377700090566259,-1.4127169551849297
-2.314410254136578,-1.3741788435501872
-2.2308014173195243,-1.4194126868951624
-2.1680408190417095,-1.447331934210713
-2.1151775268954593,-1.4651256725703128
-2.063125636461567,-1.4812574229333029
-2.009112739172943,-1.4901378040290554
-1.9507194189820238,-1.4891823403229578
-1.8869375016390393,-1.4767414587469099
-1.8204998675530775,-1.463384782170345
-1.7594560995396658,-1.4546701259748063
-1.7002969747593244,-1.4533663638574545
-1.640199216335814,-1.4560581341755543
-1.5789651542871748,-1.4630592811983787
-1.5115686838616298,-1.4732000735285733
-1.4470029669417246,-1.4897775003409715
-1.3925062091170999,-1.5043250809834172
-1.3383557165045779,-1.520262363618139
-1.2788378605333597,-1.5249206781058182
-1.2120807832255005,-1.5208740306880133
-1.14163425288903,-1.5117073135422623
-1.077276359615283,-1.503794975767326
-1.0189200106292553,-1.4998356712386545
-0.9656749247800849,-1.5016577890028695
-0.9065053837960618,-1.5103805357786733
-0.844434805239924,-1.5273843834961738
-0.7796512344803501,-1.5447788833335996
-0.7284167896677863,-1.563004513206097
-0.6819843425688465,-1.5718339898641551
-0.6314503127877895,-1.5772624485874909
-0.580218377783537,-1.5768950340688228
-0.5235668245114729,-1.5697701246105304
-0.4666322072948459,-1.560140562982234
-0.41611224271103114,-1.5498052650281162
-0.37545272957029924,-1.5428887956979906
-0.337446765425532,-1.5499321804288688
-0.2995698296472993,-1.5688198598551062
-0.2652328699906065,-1.5995899747639977
-0.23519830358405208,-1.6279752515763977
-0.2103383402686703,-1.6521097798578699
-0.18357740100977676,-1.6711100363329694
-0.15600902690465235,-1.6933433309603236
-0.11958597434088725,-1.7119075031066646
-0.07571245967875101,-1.7310210860888773
-0.03389959045681234,-1.7507794543487334
0.00552137201718084,-1.7690050178156842
0.038309779150715366,-1.7925983253113054
0.06685644901669333,-1.823136037305559
0.09533274712624856,-1.8584636948824464
0.1193684522570383,-1.9042530331625116
0.13997712119127653,-1.949742005340263
0.15650667323261822,-1.9868205198375912
