timestamp,x,y
1733833944.541995,0.0,0.0
1733833944.575474,0.0,0.0
1733833944.6427453,0.0,0.0
1733833944.675119,0.0,0.0
1733833944.7418053,0.0,0.0
1733833944.775202,0.0,0.0
1733833944.8416336,0.0,0.0
1733833944.8750837,0.0,0.0
1733833944.9416537,0.0,0.0
1733833944.9753504,0.0,0.0
1733833945.0423903,0.0,0.0
1733833945.0755272,0.0,0.0
1733833945.1424377,0.0,0.0
1733833945.1754308,0.0,0.0
1733833945.2420444,0.0,0.0
1733833945.2756245,0.0,0.0
1733833945.342283,0.0,0.0
1733833945.3754513,0.0,0.0
1733833945.44188,0.0,0.0
1733833945.4758701,0.0,0.0
1733833945.5417814,0.0,0.0
1733833945.5753744,0.0,0.0
1733833945.642149,0.0,0.0
1733833945.675222,0.0,0.0
1733833945.7419624,0.0,0.0
1733833945.7751865,0.0,0.0
1733833945.8420324,0.0,0.0
1733833945.875448,0.0,0.0
1733833945.9423115,0.0,0.0
1733833945.975318,0.0,0.0
1733833946.0423353,0.0,0.0
1733833946.0757837,0.0,0.0
1733833946.1420598,0.0,0.0
1733833946.175296,0.0,0.0
1733833946.2420402,0.0,0.0
1733833946.2756956,0.0,0.0
1733833946.3419323,0.0,0.0
1733833946.3753328,0.0,0.0
1733833946.4416876,0.0,0.0
1733833946.475403,0.0,0.0
1733833946.542004,0.0,0.0
1733833946.575381,0.0,0.0
1733833946.642023,0.0,0.0
1733833946.675651,0.0,0.0
1733833946.7417686,0.0,0.0
1733833946.7752204,0.0,0.0
1733833946.8423662,0.0,0.0
1733833946.8755672,0.0,0.0
1733833946.9424565,0.0,0.0
1733833946.9755435,0.0,0.0
1733833947.0424566,0.0,0.0
1733833947.075607,0.0,0.0
1733833947.1418123,0.0,0.0
1733833947.1750445,0.0,0.0
1733833947.2417152,0.0,0.0
1733833947.2750645,0.0,0.0
1733833947.3422573,0.0,0.0
1733833947.375556,0.0,0.0
1733833947.4426115,0.0,0.0
1733833947.475712,0.0,0.0
1733833947.5417535,0.0,0.0
1733833947.57511,0.0,0.0
1733833947.64169,0.0,0.0
1733833947.6750948,0.0,0.0
1733833947.7417452,0.0,0.0
1733833947.775575,0.0,0.0
1733833947.8422248,0.0,0.0
1733833947.875626,0.0,0.0
1733833947.9423423,0.0,0.0
1733833947.9752965,0.0,0.0
1733833948.0418687,0.0,0.0
1733833948.0753915,0.0,0.0
1733833948.1422906,0.0,0.0
1733833948.1754162,0.0,0.0
1733833948.242655,0.0,0.0
1733833948.275433,0.0,0.0
1733833948.3426094,0.0,0.0
1733833948.3757257,0.0,0.0
1733833948.442044,0.0,0.0
1733833948.4756432,0.0,0.0
1733833948.5423765,0.0,0.0
1733833948.5757406,0.0,0.0
1733833948.641952,0.0,0.0
1733833948.6759262,0.0,0.0
1733833948.7424796,0.0,0.0
1733833948.7754965,0.0,0.0
1733833948.8426335,0.0,0.0
1733833948.875991,0.0,0.0
