timestamp,x,y
1736403636.5233989,0.0,0.0
1736403636.629478,0.004694378230506724,0.002527228165440598
1736403636.7252214,0.0028848268550001332,-0.0016527692708454556
1736403636.8272226,0.01068025510064935,0.002710897500617482
1736403636.9293797,-0.0008709005073582743,0.0015048243528527072
1736403637.0289462,0.007124449970430158,0.0037615781520189406
1736403637.1324162,-0.0007434235506720288,0.00047558879993092606
1736403637.2320168,0.007790894832470641,-0.00016607620970010561
1736403637.3338165,0.0019111025883988275,0.0003941743782381879
1736403637.429107,0.012769205547980056,0.0018268127130287581
1736403637.531472,0.0026375523667780953,0.0013133593819759648
1736403637.6323938,0.0013266727572102122,-0.00025729148063069474
1736403637.731812,0.006551810976363315,0.0018175721285864643
1736403637.8337746,0.005737107097906091,0.002093425913050284
1736403637.9382029,-0.007154827504665506,0.0005815780551274852
