timestamp,gt_x,gt_y,ekf_x,ekf_y,gt_theta,ekf_theta,drift_x,drift_y,drift_abs,drift_theta,ekf_vel_x,ekf_vel_y,gt_vel_x,gt_vel_y
1736410656.3426316,0.004694378230506724,0.002527228165440598,0.0,0.0,3.279890989187073e-05,-4.521233676202386e-05,-0.004694378230506724,-0.002527228165440598,0.005331422809274434,-7.801124665389458e-05,0.0,0.0,0.04586240890181514,0.024690122060980535
1736410656.4425714,0.0028848268550001332,-0.0016527692708454556,0.0,0.0,0.00017662454894709634,-7.17041145983366e-05,-0.0028848268550001332,0.0016527692708454556,0.0033247364175195875,-0.0002483286635454329,0.0,0.0,0.015008128507694346,-0.00795024916487262
1736410656.5424888,0.01068025510064935,0.002710897500617482,0.0,0.0,-0.00011717888535485443,-8.891975458391603e-05,-0.01068025510064935,-0.002710897500617482,0.011018929815267932,2.8259130770938405e-05,0.0,0.0,0.03063326042071444,0.004196982179271675
1736410656.6425042,-0.0008709005073582743,0.0015048243528527072,0.0,0.0,0.00016335264005666594,-0.00013946648139073758,0.0008709005073582743,-0.0015048243528527072,0.0017386673133913426,-0.00030281912144740353,0.0,0.0,0.004172817890188696,0.003293189398033145
1736410656.742593,0.007124449970430158,0.0037615781520189406,0.0,0.0,9.310375098854629e-05,-0.00016990181438414356,-0.007124449970430158,-0.0037615781520189406,0.008056504054173156,-0.0002630055653726898,0.0,0.0,0.0010475324060105365,0.0057214842702241345
1736410656.8423946,-0.0007434235506720288,0.00047558879993092606,0.0,0.0,0.0002895264065996689,-0.00017000728132154919,0.0007434235506720288,-0.00047558879993092606,0.0008825323123339705,-0.00045953368792121807,0.0,0.0,-0.01072029113985218,0.005198768926938365
1736410656.9424686,0.007790894832470641,-0.00016607620970010561,0.0,0.0,0.00029314565162592843,-0.00021891427317743964,-0.007790894832470641,0.00016607620970010561,0.007792664730247676,-0.000512059924803368,0.0,0.0,-0.005739797012628727,-0.006731605104987484
1736410657.0427153,0.0019111025883988275,0.0003941743782381879,0.0,0.0,0.00024881579648021457,-0.00022792398137161385,-0.0019111025883988275,-0.0003941743782381879,0.0019513294298616419,-0.0004767397778518284,0.0,0.0,0.006076520333361726,-0.006135463255512375
1736410657.1425536,0.012769205547980056,0.0018268127130287581,0.0,0.0,2.9872387934309907e-05,-0.0002803762582770375,-0.012769205547980056,-0.0018268127130287581,0.01289921916299774,-0.0003102486462113474,0.0,0.0,0.013636989614954234,-0.0040695106826789725
1736410657.2426317,0.012769205547980056,0.0018268127130287581,0.0,0.0,2.9872387934309907e-05,-0.0002803762635714691,-0.012769205547980056,-0.0018268127130287581,0.01289921916299774,-0.000310248651505779,0.0,0.0,0.013636989614954234,-0.0040695106826789725
1736410657.3425405,0.012769205547980056,0.0018268127130287581,0.0,0.0,2.9872387934309907e-05,-0.0002803762635714691,-0.012769205547980056,-0.0018268127130287581,0.01289921916299774,-0.000310248651505779,0.0,0.0,0.013636989614954234,-0.0040695106826789725
1736410657.4420495,0.012769205547980056,0.0018268127130287581,0.0,0.0,2.9872387934309907e-05,-0.0002803762635714691,-0.012769205547980056,-0.0018268127130287581,0.01289921916299774,-0.000310248651505779,0.0,0.0,0.013636989614954234,-0.0040695106826789725
1736410657.542576,0.012769205547980056,0.0018268127130287581,0.0,0.0,2.9872387934309907e-05,-0.0002803762635714691,-0.012769205547980056,-0.0018268127130287581,0.01289921916299774,-0.000310248651505779,0.0,0.0,0.013636989614954234,-0.0040695106826789725
1736410657.6423578,0.012769205547980056,0.0018268127130287581,0.0,0.0,2.9872387934309907e-05,-0.0002803762635714691,-0.012769205547980056,-0.0018268127130287581,0.01289921916299774,-0.000310248651505779,0.0,0.0,0.013636989614954234,-0.0040695106826789725
1736410657.7421677,0.012769205547980056,0.0018268127130287581,0.0,0.0,2.9872387934309907e-05,-0.0002803762635714691,-0.012769205547980056,-0.0018268127130287581,0.01289921916299774,-0.000310248651505779,0.0,0.0,0.013636989614954234,-0.0040695106826789725
1736410657.8427477,0.012769205547980056,0.0018268127130287581,0.0,0.0,2.9872387934309907e-05,-0.0002803762635714691,-0.012769205547980056,-0.0018268127130287581,0.01289921916299774,-0.000310248651505779,0.0,0.0,0.013636989614954234,-0.0040695106826789725
1736410657.9428315,0.012769205547980056,0.0018268127130287581,0.0,0.0,2.9872387934309907e-05,-0.0002803762635714691,-0.012769205547980056,-0.0018268127130287581,0.01289921916299774,-0.000310248651505779,0.0,0.0,0.013636989614954234,-0.0040695106826789725
1736410658.0422747,0.012769205547980056,0.0018268127130287581,0.0,0.0,2.9872387934309907e-05,-0.0002803762635714691,-0.012769205547980056,-0.0018268127130287581,0.01289921916299774,-0.000310248651505779,0.0,0.0,0.013636989614954234,-0.0040695106826789725
1736410658.1423316,0.012769205547980056,0.0018268127130287581,0.0,0.0,2.9872387934309907e-05,-0.0002803762635714691,-0.012769205547980056,-0.0018268127130287581,0.01289921916299774,-0.000310248651505779,0.0,0.0,0.013636989614954234,-0.0040695106826789725
1736410658.2422938,0.012769205547980056,0.0018268127130287581,0.0,0.0,2.9872387934309907e-05,-0.0002803762635714691,-0.012769205547980056,-0.0018268127130287581,0.01289921916299774,-0.000310248651505779,0.0,0.0,0.013636989614954234,-0.0040695106826789725
1736410658.3423965,0.012769205547980056,0.0018268127130287581,0.0,0.0,2.9872387934309907e-05,-0.0002803762635714691,-0.012769205547980056,-0.0018268127130287581,0.01289921916299774,-0.000310248651505779,0.0,0.0,0.013636989614954234,-0.0040695106826789725
