clTimestamp,Vehicle Speed,Steering Angle
2024-11-28 20:31:42.925,0.8,-1.0
2024-11-28 20:31:42.929,0.8,-0.7
2024-11-28 20:31:42.978,0.8,-0.7
2024-11-28 20:31:43.026,1.0,-0.7
2024-11-28 20:31:43.029,1.0,-0.7
2024-11-28 20:31:43.080,1.0,-0.7
2024-11-28 20:31:43.127,1.2,-0.7
2024-11-28 20:31:43.127,1.2,-0.7
2024-11-28 20:31:43.179,1.2,-0.7
2024-11-28 20:31:43.227,1.3,-0.7
2024-11-28 20:31:43.231,1.3,-0.7
2024-11-28 20:31:43.279,1.3,-0.7
2024-11-28 20:31:43.328,1.4,-0.7
2024-11-28 20:31:43.329,1.4,-0.7
2024-11-28 20:31:43.378,1.4,-0.7
2024-11-28 20:31:43.429,1.4,-0.7
2024-11-28 20:31:43.430,1.4,-0.7
2024-11-28 20:31:43.480,1.4,-0.3
2024-11-28 20:31:43.528,1.4,-0.3
2024-11-28 20:31:43.530,1.4,-0.3
2024-11-28 20:31:43.580,1.4,5.6
2024-11-28 20:31:43.628,1.4,5.6
2024-11-28 20:31:43.630,1.4,5.6
2024-11-28 20:31:43.679,1.4,11.2
2024-11-28 20:31:43.728,1.4,11.9
2024-11-28 20:31:43.732,1.4,11.9
2024-11-28 20:31:43.779,1.4,11.9
2024-11-28 20:31:43.830,1.4,11.5
2024-11-28 20:31:43.833,1.3,11.5
2024-11-28 20:31:43.878,1.3,11.2
2024-11-28 20:31:43.930,1.3,11.2
2024-11-28 20:31:43.934,1.3,11.2
2024-11-28 20:31:43.977,1.3,8.7
2024-11-28 20:31:44.029,1.3,8.7
2024-11-28 20:31:44.034,1.3,8.7
2024-11-28 20:31:44.080,1.3,5.9
2024-11-28 20:31:44.129,1.3,5.6
2024-11-28 20:31:44.135,1.4,5.6
2024-11-28 20:31:44.180,1.4,5.6
2024-11-28 20:31:44.228,1.4,3.5
2024-11-28 20:31:44.236,1.4,3.5
2024-11-28 20:31:44.279,1.4,3.5
2024-11-28 20:31:44.327,1.4,0.7
2024-11-28 20:31:44.336,1.4,0.7
2024-11-28 20:31:44.378,1.4,0.3
2024-11-28 20:31:44.430,1.4,0.3
2024-11-28 20:31:44.437,1.4,0.3
2024-11-28 20:31:44.477,1.4,0.3
2024-11-28 20:31:44.529,1.4,-1.7
2024-11-28 20:31:44.538,1.4,-1.7
2024-11-28 20:31:44.580,1.4,-1.7
2024-11-28 20:31:44.628,1.4,-2.4
2024-11-28 20:31:44.639,1.4,-2.4
2024-11-28 20:31:44.679,1.4,-2.4
2024-11-28 20:31:44.728,1.4,-2.4
2024-11-28 20:31:44.740,1.4,-2.4
2024-11-28 20:31:44.779,1.4,-2.8
2024-11-28 20:31:44.830,1.4,-2.8
2024-11-28 20:31:44.841,1.4,-2.8
2024-11-28 20:31:44.878,1.4,-2.8
2024-11-28 20:31:44.930,1.4,-2.8
2024-11-28 20:31:44.941,1.4,-2.8
2024-11-28 20:31:44.978,1.4,-2.8
2024-11-28 20:31:45.029,1.4,-2.8
2024-11-28 20:31:45.042,1.4,-2.8
2024-11-28 20:31:45.080,1.4,-2.8
2024-11-28 20:31:45.128,1.4,-2.8
2024-11-28 20:31:45.143,1.4,-2.8
2024-11-28 20:31:45.180,1.4,-2.8
2024-11-28 20:31:45.228,1.4,-2.8
2024-11-28 20:31:45.244,1.4,-2.8
2024-11-28 20:31:45.279,1.4,-2.8
2024-11-28 20:31:45.327,1.4,-2.8
2024-11-28 20:31:45.345,1.4,-2.8
2024-11-28 20:31:45.378,1.4,-2.8
2024-11-28 20:31:45.430,1.4,-2.8
2024-11-28 20:31:45.446,1.4,-2.8
